,Favorite Song
0,K.K. D&B
1,K.K. Ballad
2,K.K. Rock
3,Go K.K. Rider
4,K.K. Safari
5,K.K. Tango
6,DJ K.K.
7,Pondering
8,K.K. Rockabilly
9,Imperial K.K.
10,Steep Hill
11,Animal City
12,K.K. Technopop
13,K.K. Milonga
14,K.K. Jongara
15,K.K. Salsa
16,K.K. Oasis
17,K.K. Ragtime
18,Lucky K.K.
19,K.K. Synth
20,Drivin'
21,K.K. Steppe
22,My Place
23,To The Edge
24,K.K. Cruisin'
25,King K.K.
26,Marine Song 2001
27,Spring Blossoms
28,K.K. Moody
29,K.K. Bossa
30,Aloha K.K.
31,K.K. March
32,K.K. Chorale
33,K.K. Jazz
34,K.K. House
35,K.K. Rally
36,K.K. Stroll
37,K.K. Marathon
38,Only Me
39,Rockin' K.K.
40,Farewell
41,K.K. Mambo
42,K.K. Swing
43,K.K. Parade
44,K.K. Étude
45,K.K. Blues
46,K.K. Lullaby
47,K.K. Adventure
48,K.K. Groove
49,The K. Funk
50,Space K.K.
51,K.K. Calypso
52,K.K. Flamenco
53,K.K. Dixie
54,Mr. K.K.
55,Café K.K.
56,I Love You
57,Forest Life
58,K.K. Country
59,K.K. Western
60,K.K. Aria
61,K.K. Song
62,K.K. Condor
63,K.K. Faire
64,K.K. Fusion
65,K.K. Disco
66,K.K. Metal
67,Two Days Ago
68,K.K. Lament
69,K.K. Dirge
70,Hypno K.K.
71,Soulful K.K.
72,Wandering
73,Neapolitan
74,Stale Cupcakes
75,K.K. Folk
76,K.K. Casbah
77,K.K. Soul
78,K.K. Reggae
79,K.K. Sonata
80,K.K. Love Song
81,K.K. Island
82,Surfin' K.K.
83,K.K. Bazaar
84,Agent K.K.
85,Mountain Song
86,K.K. Gumbo
87,Comrade K.K.
88,Bubblegum K.K.
